group_site_sp.code;pheno_study.num_transect_run;pheno_tree.num_pheno_tree;yl_index;ml_index;fl_index;urf_index;rf_index;fruit_ground_quantity;yl_nb_estimation;ml_nb_estimation;fl_nb_estimation;urf_nb_estimation;rf_nb_estimation;id_vocabulary_fruit_ground_maturity;comment
SBL;KP55;DPT-K01;;;;;;;;;;;;;
SBL;KP55;PAN-K01;;;;;;;;;;;;;
SBL;KP55;CHR-K01;;;;;;;;;;;;;
SBL;KP55;CHR-K02;;;;;;;;;;;;;
SBL;KP55;CNP-K01;;;;;;;;;;;;;
SBL;KP55;MYR-K01;;;;;;;;;;;;;
SBL;KP55;FCP-K01;;;;;;;;;;;;;
SBL;KP55;ANI-K01;;;;;;;;;;;;;
SBL;KP55;CDU-K01;;;;;;;;;;;;;
SBL;KP55;TEC-K01;;;;;;;;;;;;;
SBL;KP55;DEG-K01;;;;;;;;;;;;;
SBL;KP55;APH-K01;;;;;;;;;;;;;
SBL;KP55;CRP-K01;;;;;;;;;;;;;
SBL;KP55;APH-K02;;;;;;;;;;;;;
SBL;KP55;PAN-K02;;;;;;;;;;;;;
SBL;KP55;PAR-K01;;;;;;;;;;;;;
SBL;KP55;FBR-K01;;;;;;;;;;;;;
SBL;KP55;CRP-K02;;;;;;;;;;;;;
SBL;KP55;FBR-K02;;;;;;;;;;;;;
SBL;KP55;CRP-K03;;;;;;;;;;;;;
SBL;KP55;EUA-K01;;;;;;;;;;;;;
SBL;KP55;FTH-K01;;;;;;;;;;;;;
SBL;KP55;APH-K03;;;;;;;;;;;;;
SBL;KP55;CRP-K04;;;;;;;;;;;;;
SBL;KP55;ANI-K02;;;;;;;;;;;;;
SBL;KP55;EUA-K02;;;;;;;;;;;;;
SBL;KP55;ANI-K03;;;;;;;;;;;;;
SBL;KP55;MMS-K01;;;;;;;;;;;;;
SBL;KP55;CNP-K02;;;;;;;;;;;;;
SBL;KP55;FST-K01;;;;;;;;;;;;;
SBL;KP55;CNP-K03;;;;;;;;;;;;;
SBL;KP55;CRP-K05;;;;;;;;;;;;;
SBL;KP55;MMS-K02;;;;;;;;;;;;;
SBL;KP55;DEG-K02;;;;;;;;;;;;;
SBL;KP55;CDU-K02;;;;;;;;;;;;;
SBL;KP55;COM-K01;;;;;;;;;;;;;
SBL;KP55;FDA-K01;;;;;;;;;;;;;
SBL;KP55;CHR-K03;;;;;;;;;;;;;
SBL;KP55;CNP-K04;;;;;;;;;;;;;
SBL;KP55;FEX-K01;;;;;;;;;;;;;
SBL;KP55;CHR-K04;;;;;;;;;;;;;
SBL;KP55;OLW-K01;;;;;;;;;;;;;
SBL;KP55;CHT-K01;;;;;;;;;;;;;
SBL;KP55;EUA-K03;;;;;;;;;;;;;
SBL;KP55;ANI-K04;;;;;;;;;;;;;
SBL;KP55;PHO-K01;;;;;;;;;;;;;
SBL;KP55;LNC-K01;;;;;;;;;;;;;
SBL;KP55;FBR-K04;;;;;;;;;;;;;
SBL;KP55;FTH-K02;;;;;;;;;;;;;
SBL;KP55;PHO-K02;;;;;;;;;;;;;
SBL;KP55;COM-K02;;;;;;;;;;;;;
SBL;KP55;FBR-K03;;;;;;;;;;;;;
SBL;KP55;CHT-K02;;;;;;;;;;;;;
